antecedents,consequents,support,confidence,lift
"Depth_Crust, Magnitude_Minor",DAVAO OCCIDENTAL,0.012553135564800463,0.174301535363705,2.6617111000986764
DAVAO OCCIDENTAL,"Depth_Crust, Magnitude_Minor",0.012553135564800463,0.1916955017301038,2.6617111000986764
Magnitude_Minor,DAVAO OCCIDENTAL,0.026928061922759695,0.17198263386396528,2.6262997891827204
DAVAO OCCIDENTAL,Magnitude_Minor,0.026928061922759695,0.41121107266435986,2.62629978918272
"Depth_Crust, DAVAO OCCIDENTAL",Magnitude_Minor,0.012553135564800463,0.4065159964778397,2.5963135402255593
Magnitude_Minor,"Depth_Crust, DAVAO OCCIDENTAL",0.012553135564800463,0.08017366136034733,2.5963135402255593
"Magnitude_Micro, Depth_Surface",CEBU,0.019051762423978755,0.06282503437145077,1.6433259524031614
CEBU,"Magnitude_Micro, Depth_Surface",0.019051762423978755,0.4983404457088667,1.6433259524031611
Magnitude_Minor,DAVAO ORIENTAL,0.02054726232881058,0.1312301013024602,1.6164729604557038
DAVAO ORIENTAL,Magnitude_Minor,0.02054726232881058,0.25309813553645194,1.6164729604557035
Depth_Surface,CEBU,0.02225122585674017,0.05915805200125304,1.5474080216572426
CEBU,Depth_Surface,0.02225122585674017,0.5820293978188714,1.5474080216572423
"Magnitude_Micro, CEBU",Depth_Surface,0.019051762423978755,0.549398849973863,1.4606550643742326
Depth_Surface,"Magnitude_Micro, CEBU",0.019051762423978755,0.05065182293549242,1.4606550643742326
ABRA,"Magnitude_Micro, Depth_Surface",0.011202653832558392,0.4342937456078707,1.432125747105684
"Magnitude_Micro, Depth_Surface",ABRA,0.011202653832558392,0.0369418375276466,1.432125747105684
ABRA,Depth_Surface,0.012498753750079307,0.4845397048489108,1.2882177926139227
Depth_Surface,ABRA,0.012498753750079307,0.033229716378707926,1.2882177926139227
Depth_Surface,"Magnitude_Micro, ABRA",0.011202653832558392,0.02978385021325815,1.2846293893193843
"Magnitude_Micro, ABRA",Depth_Surface,0.011202653832558392,0.48318999218139175,1.2846293893193843
"Depth_Crust, Magnitude_Micro",COTABATO,0.01024190843915128,0.02659324108067401,1.2592527389149546
COTABATO,"Depth_Crust, Magnitude_Micro",0.01024190843915128,0.48497854077253216,1.2592527389149546
COTABATO,Depth_Crust,0.012335608305915836,0.5841201716738198,1.2359580895027944
Depth_Crust,COTABATO,0.012335608305915836,0.026101298352607254,1.2359580895027944
"Magnitude_Micro, COTABATO",Depth_Crust,0.01024190843915128,0.5777096114519428,1.2223937851888902
Depth_Crust,"Magnitude_Micro, COTABATO",0.01024190843915128,0.021671173503634233,1.22239378518889
Magnitude_Micro,"Depth_Crust, CEBU",0.014964062684105103,0.01846880103810099,1.2100245174196678
"Depth_Crust, CEBU",Magnitude_Micro,0.014964062684105103,0.9804038004750594,1.2100245174196678
"Depth_Interface, Magnitude_Micro, Time_Night",LOC_OTHER,0.010187526624430124,0.30312837108953616,1.1965388111580844
LOC_OTHER,"Depth_Interface, Magnitude_Micro, Time_Night",0.010187526624430124,0.040213230295874924,1.1965388111580841
"Depth_Interface, Magnitude_Micro","Time_Night, LOC_OTHER",0.010187526624430124,0.10855707938960789,1.1617081596639018
"Time_Night, LOC_OTHER","Depth_Interface, Magnitude_Micro",0.010187526624430124,0.1090203685741998,1.1617081596639018
"Depth_Interface, Time_Night","Magnitude_Micro, LOC_OTHER",0.010187526624430124,0.24872759460057536,1.1479759146570208
"Magnitude_Micro, LOC_OTHER","Depth_Interface, Time_Night",0.010187526624430124,0.04701945199749007,1.1479759146570208
Magnitude_Micro,"Depth_Crust, BATANGAS",0.021045762297087853,0.02597489764413719,1.1354344025258716
"Depth_Crust, BATANGAS",Magnitude_Micro,0.021045762297087853,0.9199683042789223,1.1354344025258716
Magnitude_Micro,"BATANGAS, Time_Night",0.015879489898577917,0.019598630780589304,1.133894353777241
"BATANGAS, Time_Night",Magnitude_Micro,0.015879489898577917,0.9187205034084951,1.1338943537772408
"BATANGAS, Time_Evening",Magnitude_Micro,0.012698153737390217,0.9150881776616591,1.129411299747058
Magnitude_Micro,"BATANGAS, Time_Evening",0.012698153737390217,0.015672192764615074,1.129411299747058
BATANGAS,Magnitude_Micro,0.046868060653850685,0.9136042402826855,1.1275798088756401
Magnitude_Micro,BATANGAS,0.046868060653850685,0.05784504552878269,1.1275798088756401
"Depth_Interface, LOC_OTHER","Magnitude_Micro, Time_Night",0.010187526624430124,0.32741042819691235,1.1257992318818693
"Magnitude_Micro, Time_Night","Depth_Interface, LOC_OTHER",0.010187526624430124,0.035029762832299687,1.125799231881869
AGUSAN DEL SUR,Magnitude_Micro,0.013078826440438318,0.910410094637224,1.123637561261601
Magnitude_Micro,AGUSAN DEL SUR,0.013078826440438318,0.016142022954560707,1.123637561261601
LOC_OTHER,"Depth_Interface, Magnitude_Micro",0.026710534663875067,0.10543451039318809,1.1234976787899202
"Depth_Interface, Magnitude_Micro",LOC_OTHER,0.026710534663875067,0.28462429978752174,1.1234976787899202
BATANGAS,Time_Morning,0.010695090228494257,0.20848056537102472,1.1233026936538812
Time_Morning,BATANGAS,0.010695090228494257,0.05762562875421204,1.1233026936538812
LOC_OTHER,"Depth_Interface, Time_Night",0.01164677198611451,0.04597331043612035,1.122434457563088
"Depth_Interface, Time_Night",LOC_OTHER,0.01164677198611451,0.2843549457844656,1.122434457563088
"LOC_OTHER, Depth_Surface","Magnitude_Micro, Time_Night",0.030326925342832024,0.32627986348122867,1.1219117903745268
"Magnitude_Micro, Time_Night","LOC_OTHER, Depth_Surface",0.030326925342832024,0.10427899149188144,1.1219117903745268
Magnitude_Micro,CEBU,0.034677470520524604,0.042799293017428464,1.1195089610967044
